IBM,
Date,12MO_PUT_IMP_VOL
12/10/2007,27.459
12/11/2007,27.492625
12/12/2007,27.251625
12/13/2007,27.5565
12/14/2007,27.771125
12/17/2007,28.2386875
12/18/2007,28.049375
12/19/2007,27.5001875
12/20/2007,27.3075
12/21/2007,26.646125
12/24/2007,26.390625
12/26/2007,26.3091875
12/27/2007,26.596
12/28/2007,26.434625
12/31/2007,26.633
1/2/2008,27.4641875
1/3/2008,27.3825
1/4/2008,29.068625
1/7/2008,28.8743125
1/8/2008,29.292875
1/9/2008,30.0551875
1/10/2008,29.478875
1/11/2008,29.8446875
1/14/2008,29.1481875
1/15/2008,29.8796875
1/16/2008,30.333
1/17/2008,31.240875
1/18/2008,29.8445
1/22/2008,30.6006875
1/23/2008,30.6048125
1/24/2008,30.59
1/25/2008,31.0456875
1/28/2008,30.601625
1/29/2008,29.813125
1/30/2008,29.386
1/31/2008,29.2825
2/1/2008,28.9141875
2/4/2008,29.743625
2/5/2008,30.9986875
2/6/2008,31.3288125
2/7/2008,31.8593125
2/8/2008,31.726375
2/11/2008,31.256125
2/12/2008,30.8425
2/13/2008,30.1721875
2/14/2008,30.531
2/15/2008,30.3866875
2/19/2008,29.834125
2/20/2008,28.925875
2/21/2008,29.2975
2/22/2008,29.1535
2/25/2008,28.550125
2/26/2008,27.5223125
2/27/2008,26.7623125
2/28/2008,27.137625
2/29/2008,28.372625
3/3/2008,28.9455
3/4/2008,29.2538125
3/5/2008,28.9456875
3/6/2008,29.6721875
3/7/2008,29.754875
3/10/2008,30.2925
3/11/2008,29.0151875
3/12/2008,29.1048125
3/13/2008,29.5963125
3/14/2008,30.970875
3/17/2008,30.5991875
3/18/2008,29.1815
3/19/2008,29.974375
3/20/2008,29.543625
3/24/2008,29.000375
3/25/2008,29.241
3/26/2008,29.690375
3/27/2008,30.077625
3/28/2008,30.1468125
3/31/2008,29.9398125
4/1/2008,28.8636875
4/2/2008,29.293
4/3/2008,28.772125
4/4/2008,28.622125
4/7/2008,27.7526875
4/8/2008,27.679875
4/9/2008,27.497875
4/10/2008,26.9093125
4/11/2008,27.6395
4/14/2008,27.586375
4/15/2008,28.2491875
4/16/2008,27.23
4/17/2008,25.749375
4/18/2008,25.0706875
4/21/2008,25.2475
4/22/2008,25.475125
4/23/2008,25.4668125
4/24/2008,25.178125
4/25/2008,25.119125
4/28/2008,25.134125
4/29/2008,24.924875
4/30/2008,24.4783125
5/1/2008,24.2495
5/2/2008,24.547625
5/5/2008,24.473125
5/6/2008,24.897125
5/7/2008,25.076
5/8/2008,24.985125
5/9/2008,25.2458125
5/12/2008,24.8965
5/13/2008,24.6163125
5/14/2008,23.8836875
5/15/2008,24.033375
5/16/2008,24.3188125
5/19/2008,24.562625
5/20/2008,25.2703125
5/21/2008,25.873375
5/22/2008,26.016625
5/23/2008,26.1123125
5/27/2008,25.981625
5/28/2008,25.778875
5/29/2008,25.6655
5/30/2008,25.574375
6/2/2008,26.0796875
6/3/2008,26.3726875
6/4/2008,26.378875
6/5/2008,26.204875
6/6/2008,27.097875
6/9/2008,27.250125
6/10/2008,26.9261875
6/11/2008,27.702875
6/12/2008,27.687125
6/13/2008,26.8935
6/16/2008,26.591375
6/17/2008,26.5928125
6/18/2008,26.875
6/19/2008,26.6161875
6/20/2008,27.2766875
6/23/2008,26.928875
6/24/2008,27.0205
6/25/2008,26.527125
6/26/2008,27.3436875
6/27/2008,27.7318125
6/30/2008,27.426
7/1/2008,27.083875
7/2/2008,27.781
7/3/2008,27.6975
7/7/2008,27.580875
7/8/2008,27.241875
7/9/2008,28.4236875
7/10/2008,28.4745
7/11/2008,28.271125
7/14/2008,28.571375
7/15/2008,28.329
7/16/2008,27.4908125
7/17/2008,27.4565
7/18/2008,25.797125
7/21/2008,25.5808125
7/22/2008,25.170875
7/23/2008,25.1465
7/24/2008,25.872125
7/25/2008,26.2033125
7/28/2008,26.669
7/29/2008,26.183
7/30/2008,25.9443125
7/31/2008,26.045125
8/1/2008,26.242375
8/4/2008,26.0103125
8/5/2008,25.8415
8/6/2008,25.579625
8/7/2008,25.6993125
8/8/2008,25.5356875
8/11/2008,25.7948125
8/12/2008,25.9995
8/13/2008,26.1686875
8/14/2008,25.8606875
8/15/2008,25.8286875
8/18/2008,25.8285
8/19/2008,26.075
8/20/2008,26.1245
8/21/2008,25.8906875
8/22/2008,25.4168125
8/25/2008,26.0033125
8/26/2008,26.193125
8/27/2008,25.710375
8/28/2008,25.039
8/29/2008,25.972375
9/2/2008,26.594125
9/3/2008,26.8953125
9/4/2008,28.2628125
9/5/2008,27.691875
9/8/2008,27.5295
9/9/2008,28.0045
9/10/2008,27.450875
9/11/2008,27.6738125
9/12/2008,27.8908125
9/15/2008,27.820125
9/16/2008,27.950875
9/17/2008,29.616875
9/18/2008,30.370625
9/19/2008,27.393125
9/22/2008,27.9783125
9/23/2008,28.8305
9/24/2008,28.472
9/25/2008,27.4978125
9/26/2008,27.6715
9/29/2008,31.0243125
9/30/2008,31.0531875
10/1/2008,33.5161875
10/2/2008,35.4295
10/3/2008,33.828625
10/6/2008,40.2893125
10/7/2008,40.9943125
10/8/2008,43.4595
10/9/2008,40.645125
10/10/2008,47.3663125
10/13/2008,39.5631875
10/14/2008,38.0166875
10/15/2008,41.1693125
10/16/2008,43.2165
10/17/2008,39.7383125
10/20/2008,39.084375
10/21/2008,37.6238125
10/22/2008,40.176375
10/23/2008,43.640875
10/24/2008,45.305875
10/27/2008,43.7673125
10/28/2008,45.106875
10/29/2008,41.9838125
10/30/2008,43.4528125
10/31/2008,42.881625
11/3/2008,41.928625
11/4/2008,40.864625
11/5/2008,41.298
11/6/2008,44.8695
11/7/2008,44.607
11/10/2008,44.413625
11/11/2008,47.106375
11/12/2008,48.034625
11/13/2008,48.385375
11/14/2008,48.681
11/17/2008,50.180625
11/18/2008,51.529375
11/19/2008,54.1826875
11/20/2008,58.3445
11/21/2008,61.955625
11/24/2008,53.9813125
11/25/2008,54.1313125
11/26/2008,52.78
11/28/2008,50.7073125
12/1/2008,52.6028125
12/2/2008,53.8726875
12/3/2008,53.731875
12/4/2008,53.8521875
12/5/2008,53.233625
12/8/2008,51.3863125
12/9/2008,50.9738125
12/10/2008,50.2116875
12/11/2008,48.961
12/12/2008,49.2486875
12/15/2008,49.5101875
12/16/2008,47.8573125
12/17/2008,46.8581875
12/18/2008,45.9541875
12/19/2008,43.827875
12/22/2008,43.8841875
12/23/2008,43.8235
12/24/2008,43.809875
12/26/2008,43.749125
12/29/2008,43.861625
12/30/2008,41.5326875
12/31/2008,40.158625
1/2/2009,38.8505
1/5/2009,38.8806875
1/6/2009,37.453
1/7/2009,39.3153125
1/8/2009,39.633125
1/9/2009,39.5218125
1/12/2009,39.5798125
1/13/2009,40.268875
1/14/2009,42.066625
1/15/2009,43.0463125
1/16/2009,41.3116875
1/20/2009,42.2805
1/21/2009,39.0708125
1/22/2009,39.721625
1/23/2009,39.834
1/26/2009,38.7996875
1/27/2009,38.0693125
1/28/2009,36.3035
1/29/2009,38.147
1/30/2009,38.760125
2/2/2009,39.934
2/3/2009,38.924875
2/4/2009,38.4336875
2/5/2009,38.016125
2/6/2009,36.897625
2/9/2009,37.3765
2/10/2009,38.5138125
2/11/2009,38.5491875
2/12/2009,38.858625
2/13/2009,38.372625
2/17/2009,39.5591875
2/18/2009,39.5448125
2/19/2009,39.971875
2/20/2009,40.460125
2/23/2009,41.385
2/24/2009,41.628375
2/25/2009,41.4691875
2/26/2009,41.079125
2/27/2009,40.6905
3/2/2009,42.1255
3/3/2009,41.6583125
3/4/2009,41.025125
3/5/2009,40.960125
3/6/2009,42.2866875
3/9/2009,42.284625
3/10/2009,40.3761875
3/11/2009,39.498375
3/12/2009,38.5916875
3/13/2009,38.721
3/16/2009,38.0361875
3/17/2009,38.2976875
3/18/2009,38.0311875
3/19/2009,37.124
3/20/2009,39.039125
3/23/2009,37.3193125
3/24/2009,37.5035
3/25/2009,38.424875
3/26/2009,38.1035
3/27/2009,38.6416875
3/30/2009,39.577875
3/31/2009,38.1401875
4/1/2009,38.569
4/2/2009,38.139
4/3/2009,37.323375
4/6/2009,38.021625
4/7/2009,38.1118125
4/8/2009,37.587375
4/9/2009,36.939625
4/13/2009,37.844375
4/14/2009,37.915375
4/15/2009,38.336875
4/16/2009,37.1721875
4/17/2009,35.8875
4/20/2009,36.2641875
4/21/2009,34.3516875
4/22/2009,34.2241875
4/23/2009,34.448
4/24/2009,34.4411875
4/27/2009,34.750875
4/28/2009,34.7385
4/29/2009,33.552
4/30/2009,33.1461875
5/1/2009,33.104375
5/4/2009,32.622625
5/5/2009,32.6363125
5/6/2009,32.476875
5/7/2009,32.9565
5/8/2009,32.737125
5/11/2009,32.0078125
5/12/2009,32.230625
5/13/2009,32.715125
5/14/2009,32.670875
5/15/2009,32.2221875
5/18/2009,30.923625
5/19/2009,30.1336875
5/20/2009,30.105875
5/21/2009,30.3336875
5/22/2009,30.361875
5/26/2009,29.8521875
5/27/2009,29.9221875
5/28/2009,29.7888125
5/29/2009,29.7621875
6/1/2009,29.036
6/2/2009,29.395625
6/3/2009,29.818875
6/4/2009,30.0723125
6/5/2009,29.867375
6/8/2009,30.413125
