JPM,
Date,12MO_PUT_IMP_VOL
12/10/2007,31.5693125
12/11/2007,33.549125
12/12/2007,34.083625
12/13/2007,34.628625
12/14/2007,34.534125
12/17/2007,35.2001875
12/18/2007,35.007875
12/19/2007,35.0058125
12/20/2007,35.177625
12/21/2007,32.7863125
12/24/2007,31.468625
12/26/2007,30.3801875
12/27/2007,32.785
12/28/2007,32.719375
12/31/2007,32.1318125
1/2/2008,33.6366875
1/3/2008,34.5091875
1/4/2008,36.189625
1/7/2008,34.857875
1/8/2008,36.4461875
1/9/2008,37.867125
1/10/2008,35.575875
1/11/2008,36.906875
1/14/2008,36.448625
1/15/2008,37.8816875
1/16/2008,35.040125
1/17/2008,37.4401875
1/18/2008,38.502
1/22/2008,37.042125
1/23/2008,33.4991875
1/24/2008,34.128875
1/25/2008,36.172875
1/28/2008,34.161125
1/29/2008,32.063125
1/30/2008,32.659375
1/31/2008,33.377625
2/1/2008,33.668625
2/4/2008,36.2625
2/5/2008,39.419625
2/6/2008,41.236375
2/7/2008,39.760125
2/8/2008,40.7141875
2/11/2008,41.388625
2/12/2008,42.228
2/13/2008,40.7313125
2/14/2008,40.6715
2/15/2008,40.133625
2/19/2008,40.5288125
2/20/2008,39.405125
2/21/2008,39.194
2/22/2008,39.400875
2/25/2008,38.9376875
2/26/2008,37.8038125
2/27/2008,37.7475
2/28/2008,40.516625
2/29/2008,44.580875
3/3/2008,43.5055
3/4/2008,43.6111875
3/5/2008,42.455375
3/6/2008,44.711375
3/7/2008,45.975
3/10/2008,47.53
3/11/2008,43.454625
3/12/2008,43.8118125
3/13/2008,44.5756875
3/14/2008,50.398875
3/17/2008,47.7326875
3/18/2008,42.6741875
3/19/2008,45.556875
3/20/2008,39.8308125
3/24/2008,38.269625
3/25/2008,40.686125
3/26/2008,41.7926875
3/27/2008,44.3865
3/28/2008,44.017625
3/31/2008,43.6716875
4/1/2008,39.6195
4/2/2008,39.7216875
4/3/2008,39.172625
4/4/2008,39.607125
4/7/2008,38.4501875
4/8/2008,39.243375
4/9/2008,39.4678125
4/10/2008,39.801375
4/11/2008,41.197125
4/14/2008,42.593625
4/15/2008,41.866625
4/16/2008,37.3493125
4/17/2008,36.654625
4/18/2008,35.282125
4/21/2008,35.215125
4/22/2008,35.7008125
4/23/2008,35.5755
4/24/2008,34.7281875
4/25/2008,33.4875
4/28/2008,33.2555
4/29/2008,33.4473125
4/30/2008,32.2603125
5/1/2008,31.276125
5/2/2008,31.9553125
5/5/2008,32.256875
5/6/2008,32.245125
5/7/2008,34.934875
5/8/2008,35.442625
5/9/2008,35.178875
5/12/2008,33.738875
5/13/2008,34.7775
5/14/2008,33.634125
5/15/2008,33.0371875
5/16/2008,33.4628125
5/19/2008,33.2686875
5/20/2008,35.8793125
5/21/2008,37.6488125
5/22/2008,37.5273125
5/23/2008,38.150625
5/27/2008,37.7866875
5/28/2008,37.4656875
5/29/2008,36.263
5/30/2008,36.3583125
6/2/2008,37.9493125
6/3/2008,38.7513125
6/4/2008,39.0561875
6/5/2008,38.8798125
6/6/2008,40.932125
6/9/2008,42.82
6/10/2008,42.4035
6/11/2008,43.103125
6/12/2008,43.781125
6/13/2008,41.460625
6/16/2008,40.7325
6/17/2008,40.6355
6/18/2008,39.7728125
6/19/2008,41.6065
6/20/2008,43.1675
6/23/2008,43.7175
6/24/2008,41.8245
6/25/2008,41.132
6/26/2008,43.537125
6/27/2008,45.077375
6/30/2008,46.0566875
7/1/2008,46.523
7/2/2008,45.8325
7/3/2008,45.425125
7/7/2008,46.557625
7/8/2008,43.9066875
7/9/2008,45.751125
7/10/2008,47.702625
7/11/2008,50.0523125
7/14/2008,52.2403125
7/15/2008,50.4266875
7/16/2008,43.6716875
7/17/2008,42.816625
7/18/2008,41.232625
7/21/2008,42.2325
