AMZN,
Date,12MO_PUT_IMP_VOL
12/10/2007,50.043375
12/11/2007,51.046625
12/12/2007,50.7095
12/13/2007,50.4041875
12/14/2007,50.632625
12/17/2007,51.121875
12/18/2007,51.7598125
12/19/2007,51.034875
12/20/2007,50.7121875
12/21/2007,50.383375
12/24/2007,50.321375
12/26/2007,49.162875
12/27/2007,49.864125
12/28/2007,49.612
12/31/2007,50.685125
1/2/2008,51.529125
1/3/2008,52.3646875
1/4/2008,55.3241875
1/7/2008,55.012875
1/8/2008,55.547125
1/9/2008,55.634375
1/10/2008,54.679
1/11/2008,55.1011875
1/14/2008,54.164875
1/15/2008,55.4628125
1/16/2008,56.429375
1/17/2008,56.703625
1/18/2008,58.602125
1/22/2008,57.5933125
1/23/2008,58.253625
1/24/2008,54.611375
1/25/2008,55.8465
1/28/2008,56.669625
1/29/2008,55.654875
1/30/2008,54.097625
1/31/2008,51.4321875
2/1/2008,50.020625
2/4/2008,51.0741875
2/5/2008,53.2948125
2/6/2008,53.8018125
2/7/2008,54.1173125
2/8/2008,53.275375
2/11/2008,52.920875
2/12/2008,52.883625
2/13/2008,50.413625
2/14/2008,50.1973125
2/15/2008,51.474
2/19/2008,50.9105
2/20/2008,50.4303125
2/21/2008,50.7043125
2/22/2008,50.812
2/25/2008,49.8663125
2/26/2008,49.6811875
2/27/2008,49.2743125
2/28/2008,49.726125
2/29/2008,51.043875
3/3/2008,52.324875
3/4/2008,51.767125
3/5/2008,51.5515
3/6/2008,52.687
3/7/2008,52.4423125
3/10/2008,52.9473125
3/11/2008,51.3113125
3/12/2008,51.208
3/13/2008,51.493875
3/14/2008,52.8598125
3/17/2008,53.5456875
3/18/2008,51.0565
3/19/2008,53.040625
3/20/2008,52.5366875
3/24/2008,51.996625
3/25/2008,52.1215
3/26/2008,52.306375
3/27/2008,52.364
3/28/2008,52.583375
3/31/2008,52.3125
4/1/2008,50.616875
4/2/2008,50.3301875
4/3/2008,51.0266875
4/4/2008,50.534125
4/7/2008,50.258
