KO,
Date,12MO_PUT_IMP_VOL
12/10/2007,19.8521875
12/11/2007,19.8783125
12/12/2007,19.572875
12/13/2007,19.5968125
12/14/2007,19.9776875
12/17/2007,20.6313125
12/18/2007,20.407375
12/19/2007,20.1438125
12/20/2007,20.4938125
12/21/2007,20.0163125
12/24/2007,19.939
12/26/2007,19.6441875
12/27/2007,19.921
12/28/2007,20.1558125
12/31/2007,19.898625
1/2/2008,20.9535
1/3/2008,20.6521875
1/4/2008,21.024375
1/7/2008,21.023125
1/8/2008,21.2306875
1/9/2008,21.079875
1/10/2008,21.024
1/11/2008,21.758
1/14/2008,21.442625
1/15/2008,21.977
1/16/2008,22.1521875
1/17/2008,23.078875
1/18/2008,22.9688125
1/22/2008,23.295375
1/23/2008,23.809
1/24/2008,22.726125
1/25/2008,23.5691875
1/28/2008,22.623
1/29/2008,22.835875
1/30/2008,23.284125
1/31/2008,22.7136875
2/1/2008,22.7406875
2/4/2008,22.848375
2/5/2008,23.486
2/6/2008,23.711125
2/7/2008,23.845375
2/8/2008,23.906625
2/11/2008,24.248875
2/12/2008,23.941625
2/13/2008,23.907875
2/14/2008,23.7951875
2/15/2008,23.637125
2/19/2008,23.2928125
2/20/2008,23.332625
2/21/2008,23.364625
2/22/2008,23.212875
2/25/2008,22.595625
2/26/2008,22.1401875
2/27/2008,21.936
2/28/2008,22.2503125
2/29/2008,23.354875
3/3/2008,23.2573125
3/4/2008,23.2765
3/5/2008,22.7691875
3/6/2008,23.4128125
3/7/2008,23.7531875
3/10/2008,24.2708125
3/11/2008,23.253125
3/12/2008,23.3638125
3/13/2008,23.7235
3/14/2008,24.956375
3/17/2008,24.7978125
3/18/2008,23.0693125
3/19/2008,23.297
3/20/2008,23.1976875
3/24/2008,22.4186875
3/25/2008,22.0561875
3/26/2008,22.2233125
3/27/2008,22.1763125
3/28/2008,22.355375
3/31/2008,22.1316875
4/1/2008,21.604625
4/2/2008,21.996125
4/3/2008,21.9916875
4/4/2008,21.880375
4/7/2008,21.8865
4/8/2008,21.653625
4/9/2008,21.7188125
4/10/2008,21.6796875
4/11/2008,21.9865
4/14/2008,22.023625
4/15/2008,21.954625
4/16/2008,21.3178125
4/17/2008,21.1148125
4/18/2008,20.7746875
4/21/2008,20.8236875
4/22/2008,20.8658125
4/23/2008,20.775875
4/24/2008,20.7336875
4/25/2008,20.6045
4/28/2008,20.432375
4/29/2008,20.339
4/30/2008,20.025375
5/1/2008,20.0151875
5/2/2008,19.9938125
5/5/2008,20.1513125
5/6/2008,20.457125
5/7/2008,20.786875
5/8/2008,21.2268125
5/9/2008,21.3465
5/12/2008,21.372875
5/13/2008,21.6053125
5/14/2008,21.2415
5/15/2008,21.049125
5/16/2008,21.2036875
5/19/2008,20.818875
5/20/2008,21.0098125
5/21/2008,21.4901875
5/22/2008,20.994875
5/23/2008,20.730375
5/27/2008,20.487125
5/28/2008,20.669125
5/29/2008,20.531625
5/30/2008,20.5376875
6/2/2008,21.127875
6/3/2008,21.685875
6/4/2008,21.454625
6/5/2008,21.3706875
6/6/2008,21.537375
6/9/2008,21.767875
6/10/2008,21.0983125
6/11/2008,21.4125
6/12/2008,21.4831875
6/13/2008,22.5958125
6/16/2008,22.7823125
6/17/2008,22.629875
6/18/2008,22.962375
6/19/2008,22.853125
6/20/2008,22.9608125
6/23/2008,22.873375
6/24/2008,22.8158125
6/25/2008,21.8315
6/26/2008,22.4816875
6/27/2008,23.2426875
6/30/2008,23.1903125
7/1/2008,23.1581875
7/2/2008,23.177125
7/3/2008,23.1685
7/7/2008,23.3675
7/8/2008,23.1463125
7/9/2008,23.381875
7/10/2008,23.646375
7/11/2008,23.7565
7/14/2008,23.571875
7/15/2008,23.5828125
7/16/2008,23.2778125
7/17/2008,23.530125
7/18/2008,23.3755
7/21/2008,23.802375
7/22/2008,23.0995
7/23/2008,22.8501875
7/24/2008,23.289375
7/25/2008,23.023625
7/28/2008,23.4748125
7/29/2008,23.303625
7/30/2008,22.9386875
7/31/2008,23.005875
8/1/2008,22.593375
8/4/2008,22.2113125
8/5/2008,21.9815
8/6/2008,21.4796875
8/7/2008,22.567875
8/8/2008,21.9521875
8/11/2008,22.0703125
8/12/2008,22.2786875
8/13/2008,22.310125
8/14/2008,22.4595
8/15/2008,22.2781875
8/18/2008,22.403875
8/19/2008,22.540625
8/20/2008,22.515
8/21/2008,22.866375
8/22/2008,22.6805
8/25/2008,22.9665
8/26/2008,22.821625
8/27/2008,22.5476875
8/28/2008,22.8161875
8/29/2008,23.3465
9/2/2008,23.444875
9/3/2008,23.543875
9/4/2008,24.031125
9/5/2008,23.780875
9/8/2008,23.292375
9/9/2008,23.372
9/10/2008,23.471375
9/11/2008,23.625625
9/12/2008,23.6673125
9/15/2008,23.951625
9/16/2008,24.2478125
9/17/2008,25.5975
9/18/2008,26.445875
9/19/2008,25.463875
9/22/2008,25.703
9/23/2008,26.1096875
9/24/2008,26.4933125
9/25/2008,25.735125
9/26/2008,25.907
9/29/2008,27.1081875
9/30/2008,25.593
10/1/2008,25.413
10/2/2008,28.748375
10/3/2008,27.1385
10/6/2008,29.3145
10/7/2008,29.236375
10/8/2008,31.722625
10/9/2008,32.987875
10/10/2008,43.360125
10/13/2008,35.8851875
10/14/2008,37.198
10/15/2008,38.3381875
10/16/2008,40.509375
10/17/2008,38.784875
10/20/2008,37.1731875
10/21/2008,36.879875
10/22/2008,37.417875
10/23/2008,40.7328125
10/24/2008,43.1815
10/27/2008,43.189
10/28/2008,43.605375
10/29/2008,42.625375
10/30/2008,42.416125
10/31/2008,40.9955
11/3/2008,40.781875
11/4/2008,39.6561875
11/5/2008,40.122
11/6/2008,41.4518125
11/7/2008,40.7715
11/10/2008,41.4716875
11/11/2008,41.5148125
11/12/2008,43.362625
11/13/2008,43.2308125
11/14/2008,43.084125
11/17/2008,43.5153125
11/18/2008,45.2141875
11/19/2008,45.744
11/20/2008,48.1288125
11/21/2008,49.1201875
11/24/2008,44.384125
11/25/2008,43.4918125
11/26/2008,42.206625
11/28/2008,39.8255
12/1/2008,41.9638125
12/2/2008,44.044
12/3/2008,43.514375
12/4/2008,43.594125
12/5/2008,45.609375
12/8/2008,43.1035
12/9/2008,43.9455
12/10/2008,44.5121875
12/11/2008,44.197125
12/12/2008,43.941625
12/15/2008,43.375625
12/16/2008,42.306375
12/17/2008,41.2066875
12/18/2008,39.5271875
12/19/2008,39.344
12/22/2008,38.6381875
12/23/2008,38.903375
12/24/2008,38.5593125
12/26/2008,37.8018125
12/29/2008,37.602125
12/30/2008,36.162
12/31/2008,35.3805
1/2/2009,34.281375
1/5/2009,33.5716875
1/6/2009,33.295375
1/7/2009,33.323625
1/8/2009,33.921875
1/9/2009,33.610125
1/12/2009,34.365375
1/13/2009,34.8326875
1/14/2009,38.081875
1/15/2009,38.1506875
1/16/2009,36.2545
1/20/2009,36.650375
1/21/2009,36.469875
1/22/2009,36.5168125
1/23/2009,36.406875
1/26/2009,35.565375
1/27/2009,34.305875
1/28/2009,33.414375
1/29/2009,33.072
1/30/2009,34.2936875
2/2/2009,35.5
2/3/2009,33.9823125
2/4/2009,33.3713125
2/5/2009,33.1875
2/6/2009,32.510125
2/9/2009,32.8645
2/10/2009,33.719625
2/11/2009,33.587875
2/12/2009,32.567375
2/13/2009,32.3593125
2/17/2009,33.3306875
2/18/2009,34.0625
2/19/2009,33.6261875
2/20/2009,34.290875
2/23/2009,33.844875
2/24/2009,33.6161875
2/25/2009,33.6775
2/26/2009,33.197125
2/27/2009,34.3845
3/2/2009,35.211125
3/3/2009,35.806
3/4/2009,35.2435
3/5/2009,35.682125
3/6/2009,36.0645
3/9/2009,35.9016875
3/10/2009,36.0215
3/11/2009,35.3556875
3/12/2009,34.361
3/13/2009,33.9965
3/16/2009,32.9208125
3/17/2009,33.0101875
3/18/2009,32.8315
3/19/2009,32.591375
3/20/2009,32.6306875
3/23/2009,31.9271875
3/24/2009,31.603875
3/25/2009,31.6223125
3/26/2009,30.932
3/27/2009,31.0655
3/30/2009,32.3483125
3/31/2009,31.7146875
4/1/2009,31.4438125
4/2/2009,30.5951875
4/3/2009,31.1668125
4/6/2009,31.2503125
4/7/2009,31.594375
4/8/2009,31.5315
4/9/2009,31.2545
4/13/2009,31.110375
4/14/2009,31.375125
4/15/2009,31.2498125
4/16/2009,30.989625
4/17/2009,30.2493125
4/20/2009,30.668625
4/21/2009,30.830125
4/22/2009,30.9553125
4/23/2009,30.956875
4/24/2009,30.764
4/27/2009,30.787625
4/28/2009,30.6046875
4/29/2009,30.1396875
4/30/2009,30.2845
5/1/2009,30.2665
5/4/2009,30.3126875
5/5/2009,30.104875
5/6/2009,29.77
5/7/2009,29.8218125
5/8/2009,28.8438125
5/11/2009,28.735375
5/12/2009,27.9731875
5/13/2009,28.2746875
5/14/2009,27.4553125
5/15/2009,27.3658125
5/18/2009,26.189875
5/19/2009,24.931125
5/20/2009,24.6808125
5/21/2009,24.7511875
5/22/2009,24.662125
5/26/2009,24.8726875
5/27/2009,25.031875
5/28/2009,24.9548125
5/29/2009,24.496875
6/1/2009,25.0598125
6/2/2009,24.5683125
6/3/2009,25.276125
6/4/2009,25.427875
6/5/2009,25.5083125
6/8/2009,25.960625
6/9/2009,25.7803125
6/10/2009,26.2028125
6/11/2009,25.7656875
6/12/2009,25.7301875
6/15/2009,26.0288125
6/16/2009,26.025375
6/17/2009,26.342375
6/18/2009,25.845
6/19/2009,25.935125
6/22/2009,26.6586875
6/23/2009,26.884
6/24/2009,26.6233125
6/25/2009,26.341875
6/26/2009,25.7916875
6/29/2009,25.4018125
6/30/2009,25.233375
7/1/2009,24.849125
7/2/2009,25.295125
7/6/2009,25.752125
7/7/2009,25.865
7/8/2009,26.6175
7/9/2009,26.1756875
7/10/2009,26.481625
7/13/2009,25.956625
7/14/2009,25.645125
7/15/2009,24.914875
7/16/2009,24.5868125
7/17/2009,24.4598125
7/20/2009,23.9791875
7/21/2009,23.6108125
7/22/2009,23.800125
7/23/2009,23.937125
7/24/2009,23.9243125
7/27/2009,23.957125
7/28/2009,23.9038125
7/29/2009,24.240875
7/30/2009,23.8278125
7/31/2009,23.845125
8/3/2009,24.2948125
8/4/2009,24.2451875
8/5/2009,24.4333125
8/6/2009,24.547875
8/7/2009,24.4
8/10/2009,24.401875
8/11/2009,24.4323125
8/12/2009,24.3178125
8/13/2009,24.467875
8/14/2009,24.4115
8/17/2009,24.5798125
8/18/2009,24.358
8/19/2009,24.2518125
8/20/2009,23.849375
8/21/2009,23.265875
8/24/2009,23.2505
8/25/2009,22.8065
8/26/2009,22.7603125
8/27/2009,22.735
8/28/2009,23.087
8/31/2009,23.4701875
9/1/2009,23.489375
9/2/2009,23.4455
9/3/2009,23.8618125
9/4/2009,23.5071875
9/8/2009,23.341
9/9/2009,23.049625
9/10/2009,23.1145
9/11/2009,23.424625
9/14/2009,22.8398125
9/15/2009,22.5658125
9/16/2009,22.525875
9/17/2009,22.5506875
9/18/2009,22.283375
9/21/2009,22.5345
9/22/2009,22.476
9/23/2009,22.118625
9/24/2009,22.3961875
9/25/2009,22.231875
9/28/2009,22.2286875
9/29/2009,22.0505
9/30/2009,21.9086875
10/1/2009,22.2601875
10/2/2009,22.2358125
10/5/2009,22.3315
10/6/2009,21.856625
10/7/2009,21.5068125
10/8/2009,21.378
10/9/2009,21.164125
10/12/2009,20.8471875
10/13/2009,20.7636875
10/14/2009,20.613375
10/15/2009,20.7883125
10/16/2009,20.5781875
10/19/2009,20.3193125
10/20/2009,20.211
10/21/2009,20.071875
10/22/2009,20.5543125
10/23/2009,20.813625
10/26/2009,21.127625
10/27/2009,21.068375
10/28/2009,21.5893125
10/29/2009,21.4581875
10/30/2009,22.3835
11/2/2009,22.371375
11/3/2009,22.875625
11/4/2009,22.2388125
11/5/2009,22.2588125
11/6/2009,21.9873125
11/9/2009,21.7076875
11/10/2009,21.703875
11/11/2009,21.405875
11/12/2009,21.7088125
11/13/2009,21.670125
11/16/2009,21.604125
11/17/2009,21.3811875
11/18/2009,21.2926875
11/19/2009,21.4693125
11/20/2009,20.972875
11/23/2009,20.7576875
11/24/2009,20.6005
11/25/2009,20.286875
11/27/2009,21.315125
11/30/2009,21.6581875
12/1/2009,21.1506875
12/2/2009,21.2198125
12/3/2009,21.498375
12/4/2009,21.749375
12/7/2009,21.637375
12/8/2009,22.113125
12/9/2009,22.1456875
12/10/2009,21.7398125
12/11/2009,21.570625
12/14/2009,21.6133125
12/15/2009,21.471625
12/16/2009,21.377375
12/17/2009,21.9001875
12/18/2009,21.839125
12/21/2009,21.0986875
12/22/2009,20.8323125
12/23/2009,20.682375
12/24/2009,20.491125
12/28/2009,20.588125
12/29/2009,20.1991875
12/30/2009,20.2238125
12/31/2009,20.257
1/4/2010,20.3748125
1/5/2010,20.363125
1/6/2010,19.8563125
1/7/2010,19.6681875
1/8/2010,19.8288125
1/11/2010,19.4043125
1/12/2010,19.398125
1/13/2010,19.0585
1/14/2010,18.884625
1/15/2010,19.1871875
1/19/2010,18.488625
1/20/2010,18.818
1/21/2010,19.099125
1/22/2010,19.544375
1/25/2010,20.0275
1/26/2010,20.111625
1/27/2010,20.4323125
1/28/2010,20.6853125
1/29/2010,20.4531875
2/1/2010,20.3956875
2/2/2010,19.8548125
2/3/2010,19.9341875
2/4/2010,21.067125
2/5/2010,22.376375
2/8/2010,21.940625
2/9/2010,21.3015
2/10/2010,21.4593125
2/11/2010,21.184125
2/12/2010,21.292
2/16/2010,20.827
2/17/2010,20.3786875
2/18/2010,19.980375
2/19/2010,19.8318125
2/22/2010,19.3478125
2/23/2010,19.69
2/24/2010,19.266625
2/25/2010,20.168625
2/26/2010,19.7325
3/1/2010,19.5918125
3/2/2010,19.4718125
3/3/2010,19.1915
3/4/2010,19.203625
3/5/2010,18.8635
3/8/2010,18.890875
3/9/2010,18.814
3/10/2010,18.822875
3/11/2010,19.732125
3/12/2010,19.498125
3/15/2010,19.487625
3/16/2010,19.2561875
3/17/2010,19.0903125
3/18/2010,19.050125
3/19/2010,19.103375
3/22/2010,19.3265
3/23/2010,18.957
3/24/2010,19.1041875
3/25/2010,19.1756875
3/26/2010,19.5576875
3/29/2010,19.4138125
3/30/2010,19.355
3/31/2010,19.1923125
4/1/2010,19.0643125
4/5/2010,19.295
4/6/2010,19.484125
4/7/2010,19.6716875
4/8/2010,19.645375
4/9/2010,19.5295
4/12/2010,19.394625
4/13/2010,19.3103125
4/14/2010,19.2793125
4/15/2010,19.619375
4/16/2010,19.7635
4/19/2010,19.9616875
4/20/2010,19.732
4/21/2010,19.8586875
4/22/2010,19.982
4/23/2010,20.297375
4/26/2010,20.1571875
4/27/2010,20.794
4/28/2010,21.3245
4/29/2010,20.891
4/30/2010,21.026875
5/3/2010,21.0778125
5/4/2010,22.388125
5/5/2010,22.4005
