MSFT,
Date,12MO_PUT_IMP_VOL
12/10/2007,27.010375
12/11/2007,26.5661875
12/12/2007,26.473875
12/13/2007,26.4103125
12/14/2007,25.4028125
12/17/2007,25.9736875
12/18/2007,25.590625
12/19/2007,25.1165
12/20/2007,24.7695
12/21/2007,24.3838125
12/24/2007,24.181125
12/26/2007,24.061125
12/27/2007,24.233875
12/28/2007,24.302375
12/31/2007,24.688375
1/2/2008,25.499375
1/3/2008,25.3076875
1/4/2008,26.758
1/7/2008,26.6123125
1/8/2008,27.1615
1/9/2008,26.937875
1/10/2008,26.7536875
1/11/2008,27.514625
1/14/2008,27.1505
1/15/2008,27.3686875
1/16/2008,27.890125
1/17/2008,28.523625
1/18/2008,28.142
1/22/2008,28.5015
1/23/2008,29.156875
1/24/2008,28.868625
1/25/2008,27.695
1/28/2008,27.723
1/29/2008,27.1278125
1/30/2008,26.913875
1/31/2008,26.7605
2/1/2008,28.3541875
2/4/2008,28.2191875
2/5/2008,30.402375
2/6/2008,31.4503125
2/7/2008,32.4705
2/8/2008,31.5811875
2/11/2008,31.849375
2/12/2008,31.5241875
2/13/2008,30.7115
2/14/2008,30.787875
2/15/2008,30.820125
2/19/2008,30.1526875
2/20/2008,29.842
2/21/2008,29.998375
2/22/2008,30.3283125
2/25/2008,29.757125
2/26/2008,28.9156875
2/27/2008,29.261625
2/28/2008,30.5083125
2/29/2008,31.8965
3/3/2008,31.787125
3/4/2008,31.624
3/5/2008,30.3615
3/6/2008,30.815625
3/7/2008,31.1906875
3/10/2008,31.599125
3/11/2008,30.407875
3/12/2008,31.189
3/13/2008,31.5983125
3/14/2008,33.624625
3/17/2008,33.962875
3/18/2008,31.2453125
3/19/2008,31.9515
3/20/2008,32.010375
3/24/2008,31.6275
3/25/2008,31.572625
3/26/2008,32.3366875
3/27/2008,33.021625
3/28/2008,33.161875
3/31/2008,32.7006875
4/1/2008,30.401
4/2/2008,30.599375
4/3/2008,30.3935
4/4/2008,30.0483125
4/7/2008,30.1058125
4/8/2008,30.378375
4/9/2008,30.3211875
4/10/2008,29.4375
4/11/2008,31.292375
4/14/2008,31.708625
4/15/2008,31.154625
4/16/2008,30.4753125
4/17/2008,30.279625
4/18/2008,29.0815
4/21/2008,28.177
4/22/2008,27.967
4/23/2008,27.101125
4/24/2008,27.5671875
4/25/2008,27.888
4/28/2008,28.689875
4/29/2008,28.9228125
4/30/2008,28.616
5/1/2008,27.838125
5/2/2008,27.9113125
5/5/2008,28.153
5/6/2008,27.2826875
5/7/2008,28.2656875
5/8/2008,28.4953125
5/9/2008,28.4293125
5/12/2008,27.4173125
5/13/2008,27.565
5/14/2008,27.0701875
5/15/2008,25.742875
5/16/2008,26.5546875
5/19/2008,27.114
5/20/2008,28.710125
5/21/2008,29.4106875
5/22/2008,29.358
5/23/2008,30.131875
5/27/2008,29.653625
5/28/2008,29.936375
5/29/2008,29.289125
5/30/2008,28.5913125
6/2/2008,29.243875
6/3/2008,30.118625
6/4/2008,30.685
6/5/2008,29.443
6/6/2008,31.2825
6/9/2008,30.871375
6/10/2008,30.518375
6/11/2008,32.133875
6/12/2008,31.207125
6/13/2008,29.619
6/16/2008,29.6621875
6/17/2008,29.359
6/18/2008,29.6048125
6/19/2008,28.933875
6/20/2008,29.731125
6/23/2008,30.1105
6/24/2008,30.2475
6/25/2008,29.247375
6/26/2008,30.350375
6/27/2008,30.593625
6/30/2008,30.509
7/1/2008,31.5835
7/2/2008,33.4215
7/3/2008,33.723125
7/7/2008,33.0028125
7/8/2008,32.207
7/9/2008,33.2096875
7/10/2008,33.197625
7/11/2008,34.1541875
7/14/2008,34.2745
7/15/2008,33.8663125
7/16/2008,32.0948125
7/17/2008,32.247
7/18/2008,32.363625
7/21/2008,31.5883125
7/22/2008,31.1368125
7/23/2008,30.684375
7/24/2008,32.391375
7/25/2008,31.229875
7/28/2008,32.3881875
7/29/2008,31.334875
7/30/2008,31.711875
7/31/2008,31.868875
8/1/2008,32.3951875
8/4/2008,32.5655
8/5/2008,31.344125
8/6/2008,30.697125
8/7/2008,31.224625
8/8/2008,30.318625
8/11/2008,30.8688125
8/12/2008,30.0386875
8/13/2008,30.544625
8/14/2008,30.3968125
8/15/2008,29.974875
8/18/2008,30.082125
8/19/2008,30.5625
8/20/2008,30.5363125
8/21/2008,30.3801875
8/22/2008,29.754875
8/25/2008,30.1551875
8/26/2008,30.6895
8/27/2008,30.1116875
8/28/2008,29.8778125
8/29/2008,30.335625
9/2/2008,30.9238125
9/3/2008,31.414625
9/4/2008,32.496625
9/5/2008,33.0283125
9/8/2008,32.814125
9/9/2008,32.5086875
9/10/2008,32.0548125
9/11/2008,31.8776875
9/12/2008,31.3866875
9/15/2008,32.2575
9/16/2008,33.897375
9/17/2008,36.7336875
9/18/2008,38.824375
9/19/2008,35.942375
9/22/2008,35.753625
9/23/2008,35.427375
9/24/2008,35.3556875
9/25/2008,33.5725
9/26/2008,32.870125
9/29/2008,36.2278125
9/30/2008,35.354875
10/1/2008,35.0365
10/2/2008,35.939
10/3/2008,35.630625
10/6/2008,41.340875
10/7/2008,41.1275
10/8/2008,45.0206875
10/9/2008,43.3141875
10/10/2008,53.980125
10/13/2008,39.746125
10/14/2008,41.399625
10/15/2008,46.319625
10/16/2008,47.796125
10/17/2008,44.2973125
10/20/2008,44.3343125
10/21/2008,42.990125
10/22/2008,49.8656875
10/23/2008,54.847375
10/24/2008,52.387375
10/27/2008,50.114875
10/28/2008,52.6051875
10/29/2008,48.485
10/30/2008,51.1576875
10/31/2008,50.871625
11/3/2008,50.0906875
11/4/2008,46.809375
11/5/2008,47.6738125
11/6/2008,51.827125
11/7/2008,50.1335
11/10/2008,49.875625
11/11/2008,51.33
11/12/2008,53.317
11/13/2008,56.9063125
11/14/2008,55.336
11/17/2008,56.8403125
11/18/2008,62.0626875
11/19/2008,64.323625
11/20/2008,67.3525
11/21/2008,66.9383125
11/24/2008,58.9993125
11/25/2008,60.0661875
11/26/2008,58.569
11/28/2008,57.4515
12/1/2008,60.6725
12/2/2008,61.8946875
12/3/2008,59.4513125
12/4/2008,59.733875
12/5/2008,61.0053125
12/8/2008,55.713875
12/9/2008,58.207875
12/10/2008,58.032
12/11/2008,58.336375
12/12/2008,59.627625
12/15/2008,59.5086875
12/16/2008,57.0455
12/17/2008,55.658125
12/18/2008,54.524375
12/19/2008,52.346125
12/22/2008,52.233375
12/23/2008,53.196125
12/24/2008,51.882125
12/26/2008,51.51
12/29/2008,51.073375
12/30/2008,49.5695
12/31/2008,49.481625
1/2/2009,48.5088125
1/5/2009,46.4821875
1/6/2009,45.612
1/7/2009,48.093125
1/8/2009,48.659125
1/9/2009,48.089125
1/12/2009,48.632
1/13/2009,48.492625
1/14/2009,49.7743125
1/15/2009,49.6181875
1/16/2009,46.9546875
1/20/2009,50.3711875
1/21/2009,49.364875
1/22/2009,47.8708125
1/23/2009,47.4508125
1/26/2009,47.3066875
1/27/2009,46.3033125
1/28/2009,45.1436875
1/29/2009,47.3033125
1/30/2009,48.5563125
2/2/2009,48.274875
2/3/2009,46.763125
2/4/2009,46.127375
2/5/2009,45.397625
2/6/2009,44.275125
2/9/2009,44.309625
2/10/2009,46.6271875
2/11/2009,46.749
2/12/2009,47.394
2/13/2009,45.4765
2/17/2009,47.6123125
2/18/2009,47.4993125
2/19/2009,47.038
2/20/2009,47.779
2/23/2009,48.009125
2/24/2009,48.923625
2/25/2009,48.635
2/26/2009,48.444875
2/27/2009,48.591625
3/2/2009,50.3343125
3/3/2009,47.953
3/4/2009,47.406125
3/5/2009,48.057125
3/6/2009,48.7233125
3/9/2009,49.3373125
3/10/2009,47.101
3/11/2009,46.3988125
3/12/2009,46.0666875
3/13/2009,46.197125
3/16/2009,45.9181875
3/17/2009,44.630375
3/18/2009,45.2193125
3/19/2009,45.7138125
3/20/2009,48.573125
3/23/2009,46.3526875
3/24/2009,46.3645
3/25/2009,47.330375
3/26/2009,45.9761875
3/27/2009,46.295
3/30/2009,47.9195
3/31/2009,46.259
4/1/2009,47.6645
4/2/2009,47.360375
4/3/2009,47.1096875
4/6/2009,46.753125
4/7/2009,47.161
4/8/2009,46.626625
4/9/2009,46.2173125
4/13/2009,46.111125
4/14/2009,46.4398125
4/15/2009,46.9495
4/16/2009,44.959375
4/17/2009,42.9825
4/20/2009,44.3686875
4/21/2009,43.27
4/22/2009,41.7961875
4/23/2009,42.5591875
4/24/2009,39.786375
4/27/2009,41.497375
4/28/2009,42.5996875
4/29/2009,40.9891875
4/30/2009,41.0025
5/1/2009,41.072125
5/4/2009,40.656875
