Date,Adj Close
1/2/2001,13.875
1/3/2001,17.5625
1/4/2001,15.5
1/5/2001,14.5625
1/8/2001,14.9375
1/9/2001,16.375
1/10/2001,16.5
1/11/2001,17
1/12/2001,17.6875
1/15/2001,17.6875
1/16/2001,18.0625
1/17/2001,18.375
1/18/2001,19.5
1/19/2001,19.9375
1/22/2001,18.5
1/23/2001,18.9375
1/24/2001,21.875
1/25/2001,19
1/26/2001,19.5
1/29/2001,20.125
1/30/2001,18.9375
1/31/2001,17.3125
2/1/2001,16.25
2/2/2001,14.375
2/5/2001,14.4375
2/6/2001,15.8125
2/7/2001,15
2/8/2001,14.375
2/9/2001,13.375
2/12/2001,14.5
2/13/2001,13.75
2/14/2001,14.4375
2/15/2001,14.5
2/16/2001,13.6875
2/19/2001,13.6875
2/20/2001,12.5
2/21/2001,11.9375
2/22/2001,11.9375
2/23/2001,11.8125
2/26/2001,11.9375
2/27/2001,11.75
2/28/2001,10.1875
3/1/2001,10.4375
3/2/2001,10
3/5/2001,12.625
3/6/2001,11.875
3/7/2001,12.25
3/8/2001,11.6875
3/9/2001,12.25
3/12/2001,10.625
3/13/2001,11
3/14/2001,10.625
3/15/2001,10.875
3/16/2001,11
3/19/2001,10.5
3/20/2001,10.25
3/21/2001,10
3/22/2001,10.1875
3/23/2001,10.25
3/26/2001,10.93
3/27/2001,11.6
3/28/2001,10.8
3/29/2001,10
3/30/2001,10.23
4/2/2001,9.1
4/3/2001,8.64
4/4/2001,8.35
4/5/2001,9.12
4/6/2001,8.37
4/9/2001,11.15
4/10/2001,12.01
4/11/2001,13.32
4/12/2001,14.67
4/16/2001,14.03
4/17/2001,14.74
4/18/2001,16.54
4/19/2001,15.99
4/20/2001,15.78
4/23/2001,16.2
4/24/2001,15.77
4/25/2001,16.09
4/26/2001,15.43
4/27/2001,15.27
4/30/2001,15.78
5/1/2001,16.89
5/2/2001,17.11
5/3/2001,16.75
5/4/2001,17.55
5/7/2001,16.92
5/8/2001,16.18
5/9/2001,15.02
5/10/2001,14.62
5/11/2001,14.68
5/14/2001,13.33
5/15/2001,13.54
5/16/2001,14.13
5/17/2001,14.78
5/18/2001,14.72
5/21/2001,16.38
5/22/2001,16.25
5/23/2001,15.6
5/24/2001,16.75
5/25/2001,17.09
5/28/2001,17.09
5/29/2001,17.22
5/30/2001,15.66
5/31/2001,16.69
6/1/2001,16.95
6/4/2001,16.91
6/5/2001,16.44
6/6/2001,15.99
6/7/2001,16.12
6/8/2001,15.7
6/11/2001,14.86
6/12/2001,14.64
6/13/2001,14.12
6/14/2001,13.29
6/15/2001,12.49
6/18/2001,11.83
6/19/2001,11.36
6/20/2001,12.54
6/21/2001,13.08
6/22/2001,12.4
6/25/2001,12.81
6/26/2001,13.29
6/27/2001,14.03
6/28/2001,14.36
6/29/2001,14.42
7/2/2001,14.53
7/3/2001,14.13
7/4/2001,14.13
7/5/2001,15.27
7/6/2001,15.27
7/9/2001,15.81
7/10/2001,15.61
7/11/2001,15.34
7/12/2001,16.49
7/13/2001,16.98
7/16/2001,16.01
7/17/2001,16.35
7/18/2001,15.96
7/19/2001,16.48
7/20/2001,16.98
7/23/2001,16.04
