SPX Index,,
Date,PX_LAST,12MO_PUT_IMP_VOL
1/3/2005,1202.08,14.96
1/4/2005,1188.05,15.05
1/5/2005,1183.74,15.06
1/6/2005,1187.89,14.72
1/7/2005,1186.19,14.58
1/10/2005,1190.25,14.33
1/11/2005,1182.99,14.36
1/12/2005,1187.7,14.08
1/13/2005,1177.45,14.2
1/14/2005,1184.52,14
1/18/2005,1195.98,13.69
1/19/2005,1184.63,14.07
1/20/2005,1175.41,14.32
1/21/2005,1167.87,14.43
1/24/2005,1163.75,14.49
1/25/2005,1168.41,14.23
1/26/2005,1174.07,13.91
1/27/2005,1174.55,13.56
1/28/2005,1171.36,13.6
1/31/2005,1181.27,13.17
2/1/2005,1189.41,12.95
2/2/2005,1193.19,12.71
2/3/2005,1189.89,12.69
2/4/2005,1203.03,12.35
2/7/2005,1201.72,12.4
2/8/2005,1202.3,12.23
2/9/2005,1191.99,12.44
2/10/2005,1197.01,12.16
2/11/2005,1205.3,12.03
2/14/2005,1206.14,12.06
2/15/2005,1210.12,11.81
2/16/2005,1210.34,11.84
2/17/2005,1200.75,12.17
2/18/2005,1201.59,12.18
2/22/2005,1184.16,12.98
2/23/2005,1190.8,12.96
2/24/2005,1200.2,12.7
2/25/2005,1211.37,12.47
2/28/2005,1203.6,12.75
3/1/2005,1210.41,12.79
3/2/2005,1210.08,12.98
3/3/2005,1210.47,13.11
3/4/2005,1222.12,12.75
3/7/2005,1225.31,12.73
3/8/2005,1219.43,12.8
3/9/2005,1207.01,13.08
3/10/2005,1209.25,13.16
3/11/2005,1200.08,13.37
3/14/2005,1206.83,13.33
3/15/2005,1197.75,13.48
3/16/2005,1188.07,13.83
3/17/2005,1190.21,13.99
3/18/2005,1189.65,14.06
3/21/2005,1183.78,14.18
3/22/2005,1171.71,14.39
3/23/2005,1172.53,14.58
3/24/2005,1171.42,14.41
3/28/2005,1174.28,14.32
3/29/2005,1165.36,14.72
3/30/2005,1181.41,14.36
3/31/2005,1180.59,14.36
4/1/2005,1172.92,14.61
4/4/2005,1176.12,14.66
4/5/2005,1181.39,14.55
4/6/2005,1184.07,14.38
4/7/2005,1191.14,14.19
4/8/2005,1181.2,14.28
4/11/2005,1181.21,14.33
4/12/2005,1187.76,14.05
4/13/2005,1173.79,14.53
4/14/2005,1162.05,15.07
4/15/2005,1142.62,16.09
4/18/2005,1145.98,16.01
4/19/2005,1152.78,15.52
4/20/2005,1137.5,16.29
4/21/2005,1159.95,15.55
4/22/2005,1152.12,16.03
4/25/2005,1162.1,15.62
4/26/2005,1151.74,15.69
4/27/2005,1156.38,15.67
4/28/2005,1143.22,16.3
4/29/2005,1156.85,15.98
5/2/2005,1162.16,15.83
5/3/2005,1161.17,15.85
5/4/2005,1175.65,15.43
5/5/2005,1172.63,15.09
5/6/2005,1171.35,15.1
5/9/2005,1178.84,14.82
5/10/2005,1166.22,15.38
5/11/2005,1171.11,15.4
5/12/2005,1159.36,16.12
5/13/2005,1154.05,16.43
5/16/2005,1165.69,15.89
5/17/2005,1173.8,15.62
5/18/2005,1185.56,15.06
5/19/2005,1191.08,14.67
5/20/2005,1189.28,14.54
5/23/2005,1193.86,14.32
5/24/2005,1194.07,14.27
5/25/2005,1190.01,14.36
5/26/2005,1197.62,14.22
5/27/2005,1198.78,14.32
5/31/2005,1191.5,14.72
6/1/2005,1202.27,14.43
6/2/2005,1204.29,14.29
6/3/2005,1196.02,14.52
6/6/2005,1197.51,14.53
6/7/2005,1197.26,14.57
6/8/2005,1194.67,14.64
6/9/2005,1200.93,14.46
6/10/2005,1198.11,14.57
6/13/2005,1200.82,14.3
6/14/2005,1203.91,14.33
6/15/2005,1206.58,14.25
6/16/2005,1210.96,14.06
6/17/2005,1216.96,14
6/20/2005,1216.1,14.05
6/21/2005,1213.61,13.9
6/22/2005,1213.88,13.68
6/23/2005,1200.73,14.12
6/24/2005,1191.57,14.41
6/27/2005,1190.69,14.44
6/28/2005,1201.57,14.14
6/29/2005,1199.85,14.16
6/30/2005,1191.33,14.41
7/1/2005,1194.44,14.27
7/5/2005,1204.99,13.89
7/6/2005,1194.94,14.19
7/7/2005,1197.87,14.18
7/8/2005,1211.86,13.73
7/11/2005,1219.44,13.68
7/12/2005,1222.21,13.79
7/13/2005,1223.29,13.6
7/14/2005,1226.5,13.47
7/15/2005,1227.92,13.4
7/18/2005,1221.13,13.64
7/19/2005,1229.35,13.45
7/20/2005,1235.2,13.29
7/21/2005,1227.04,13.68
7/22/2005,1233.68,13.44
7/25/2005,1229.03,13.68
7/26/2005,1231.16,13.63
7/27/2005,1236.79,13.49
7/28/2005,1243.72,13.37
7/29/2005,1234.18,13.9
8/1/2005,1235.35,14.09
8/2/2005,1244.12,13.88
8/3/2005,1245.04,13.87
8/4/2005,1235.86,14.18
8/5/2005,1226.42,14.5
8/8/2005,1223.13,14.72
8/9/2005,1231.38,14.33
8/10/2005,1229.13,14.4
8/11/2005,1237.81,14.26
8/12/2005,1230.39,14.43
8/15/2005,1233.87,14.25
8/16/2005,1219.34,14.63
8/17/2005,1220.24,14.57
8/18/2005,1219.02,14.65
8/19/2005,1219.71,14.57
8/22/2005,1221.73,14.45
8/23/2005,1217.57,14.47
8/24/2005,1209.59,14.66
8/25/2005,1212.4,14.67
8/26/2005,1205.1,14.83
8/29/2005,1212.28,14.8
8/30/2005,1208.41,14.85
8/31/2005,1220.33,14.61
9/1/2005,1221.59,14.78
9/2/2005,1218.02,14.93
