Date,Adj Close
1/2/2001,50.97
1/3/2001,49.38
1/4/2001,48.31
1/5/2001,48.94
1/8/2001,48.88
1/9/2001,49.22
1/10/2001,47.84
1/11/2001,46.22
1/12/2001,47.28
1/15/2001,47.28
1/16/2001,47.09
1/17/2001,45.84
1/18/2001,47
1/19/2001,47.06
1/22/2001,47.06
1/23/2001,46.34
1/24/2001,45.28
1/25/2001,45.88
1/26/2001,45.97
1/29/2001,46.44
1/30/2001,46.44
1/31/2001,46.56
2/1/2001,46.94
2/2/2001,47.55
2/5/2001,46.97
2/6/2001,46.7
2/7/2001,47.45
2/8/2001,47.31
2/9/2001,47.49
2/12/2001,49.05
2/13/2001,48.45
2/14/2001,47.83
2/15/2001,47.1
2/16/2001,47.33
2/19/2001,47.33
2/20/2001,48.01
2/21/2001,48.46
2/22/2001,48.26
2/23/2001,47.76
2/26/2001,47.88
2/27/2001,47.97
2/28/2001,48.67
3/1/2001,49.54
3/2/2001,49.58
3/5/2001,49.24
3/6/2001,48.4
3/7/2001,47.4
3/8/2001,48.94
3/9/2001,48.35
3/12/2001,47.47
3/13/2001,47
3/14/2001,46.63
3/15/2001,46.67
3/16/2001,45.99
3/19/2001,46.01
3/20/2001,45.4
3/21/2001,43.62
3/22/2001,43.9
3/23/2001,44.1
3/26/2001,42.64
3/27/2001,41.6
3/28/2001,43.13
3/29/2001,44.19
3/30/2001,43.74
4/2/2001,43.66
4/3/2001,43.06
4/4/2001,43.46
4/5/2001,44.44
4/6/2001,45.19
4/9/2001,45.62
4/10/2001,46.02
4/11/2001,45.42
4/12/2001,45.47
4/16/2001,46.3
4/17/2001,47.22
4/18/2001,46.97
4/19/2001,46.42
4/20/2001,46.06
4/23/2001,45.95
4/24/2001,46.26
4/25/2001,47
4/26/2001,47.75
4/27/2001,47.69
4/30/2001,48.24
5/1/2001,48.4
5/2/2001,48.75
5/3/2001,48.38
5/4/2001,48.88
5/7/2001,49.05
5/8/2001,48.97
5/9/2001,48.96
5/10/2001,48.63
5/11/2001,48.63
5/14/2001,48.9
5/15/2001,48.54
5/16/2001,49.89
5/17/2001,50.34
5/18/2001,50.5
5/21/2001,50.31
5/22/2001,49.5
5/23/2001,48.87
5/24/2001,48.72
5/25/2001,48.63
5/28/2001,48.63
5/29/2001,48.72
5/30/2001,48.55
5/31/2001,48.47
6/1/2001,49
6/4/2001,50.07
6/5/2001,51.1
6/6/2001,51.55
6/7/2001,51.53
6/8/2001,51.01
6/11/2001,50.69
6/12/2001,50.9
6/13/2001,50.71
6/14/2001,50.91
6/15/2001,52.04
6/18/2001,52.03
6/19/2001,53.27
6/20/2001,53.61
6/21/2001,53.11
6/22/2001,52.39
6/25/2001,51.61
6/26/2001,51.11
6/27/2001,50.7
6/28/2001,52.2
6/29/2001,50
7/2/2001,51.19
7/3/2001,51.04
7/4/2001,51.04
7/5/2001,50.9
7/6/2001,50.41
7/9/2001,52.12
7/10/2001,52.5
7/11/2001,53.49
7/12/2001,52.84
7/13/2001,53.05
7/16/2001,53.66
7/17/2001,54.91
7/18/2001,54.4
7/19/2001,54.2
7/20/2001,54.49
7/23/2001,53.6
7/24/2001,52.71
7/25/2001,52.7
7/26/2001,53.19
7/27/2001,53.03
7/30/2001,52.92
