Date,Adj Close
1/2/2001,44
1/3/2001,50.63
1/4/2001,52
1/5/2001,48.94
1/8/2001,49.25
1/9/2001,48.69
1/10/2001,50.94
1/11/2001,54.13
1/12/2001,53.31
1/15/2001,53.31
1/16/2001,53.19
1/17/2001,53
1/18/2001,51.44
1/19/2001,50.56
1/22/2001,50.88
1/23/2001,51.69
1/24/2001,53.25
1/25/2001,53.06
1/26/2001,54.19
1/29/2001,55.12
1/30/2001,55.98
1/31/2001,54.99
2/1/2001,55.85
2/2/2001,54.64
2/5/2001,54.6
2/6/2001,52.28
2/7/2001,52.33
2/8/2001,51.68
2/9/2001,51.95
2/12/2001,52.55
2/13/2001,51.14
2/14/2001,51.19
2/15/2001,51.11
2/16/2001,51.99
2/19/2001,51.99
2/20/2001,49.95
2/21/2001,47.35
2/22/2001,48.3
2/23/2001,47.05
2/26/2001,48.55
2/27/2001,47.6
2/28/2001,46.66
3/1/2001,46.11
3/2/2001,45.8
3/5/2001,46.76
3/6/2001,47.96
3/7/2001,50.25
3/8/2001,50.24
3/9/2001,48.95
3/12/2001,45.49
3/13/2001,47.4
3/14/2001,43.75
3/15/2001,45.26
3/16/2001,44.58
3/19/2001,45.15
3/20/2001,42.59
3/21/2001,40.2
3/22/2001,38.91
3/23/2001,41.71
3/26/2001,42.11
3/27/2001,43.36
3/28/2001,42.55
3/29/2001,43
3/30/2001,44.9
4/2/2001,44.6
4/3/2001,41.6
4/4/2001,40.49
4/5/2001,42.5
4/6/2001,40.39
4/9/2001,40.42
4/10/2001,43.3
4/11/2001,44.74
4/12/2001,45.37
4/16/2001,45.5
4/17/2001,45.37
4/18/2001,49.1
4/19/2001,48.8
4/20/2001,47.8
4/23/2001,47.3
4/24/2001,47.4
4/25/2001,47.48
4/26/2001,48.5
4/27/2001,49.85
4/30/2001,47.98
5/1/2001,48.73
5/2/2001,49.57
5/3/2001,49
5/4/2001,50.6
5/7/2001,49.2
5/8/2001,47.75
5/9/2001,47.25
5/10/2001,47.51
5/11/2001,46.44
5/14/2001,47.64
5/15/2001,47.28
5/16/2001,48.31
5/17/2001,48.19
5/18/2001,48.16
5/21/2001,49.43
5/22/2001,50.02
5/23/2001,48.92
5/24/2001,49.34
5/25/2001,48.7
5/28/2001,48.7
5/29/2001,49.33
5/30/2001,48.62
5/31/2001,49.15
6/1/2001,48.89
6/4/2001,49.5
6/5/2001,48.5
6/6/2001,46.84
6/7/2001,45.63
6/8/2001,44.2
6/11/2001,44.18
6/12/2001,43.49
6/13/2001,43.9
6/14/2001,43.59
6/15/2001,44.9
6/18/2001,44.31
6/19/2001,44.52
6/20/2001,45.6
6/21/2001,47.12
6/22/2001,45.9
6/25/2001,45.82
6/26/2001,44.68
6/27/2001,44.02
6/28/2001,45
6/29/2001,44.6
7/2/2001,45.8
7/3/2001,45.65
7/4/2001,45.65
7/5/2001,45.53
7/6/2001,44.51
7/9/2001,43.99
7/10/2001,42.01
7/11/2001,42.05
7/12/2001,42.54
7/13/2001,42.55
7/16/2001,41.2
7/17/2001,42.3
7/18/2001,43.58
7/19/2001,43.7
7/20/2001,43.4
7/23/2001,43.01
7/24/2001,42.68
7/25/2001,42.9
7/26/2001,43.24
7/27/2001,44.21
7/30/2001,43.81
7/31/2001,43.3
8/1/2001,43.5
8/2/2001,43.5
8/3/2001,43.32
8/6/2001,42.76
8/7/2001,42.77
8/8/2001,42.08
8/9/2001,41.9
8/10/2001,42.25
8/13/2001,42.12
8/14/2001,42.25
8/15/2001,42.15
8/16/2001,42.18
8/17/2001,41.48
8/20/2001,41.09
8/21/2001,40.41
8/22/2001,41.2
8/23/2001,40.72
8/24/2001,40.93
8/27/2001,41.1
8/28/2001,40.49
8/29/2001,39.57
8/30/2001,39.24
8/31/2001,39.4
9/3/2001,39.4
9/4/2001,39.83
9/5/2001,38.35
9/6/2001,36.94
9/7/2001,37
9/10/2001,37.26
9/11/2001,37.26
9/17/2001,35.25
9/18/2001,34.84
9/19/2001,34.11
9/20/2001,31.56
9/21/2001,30.82
9/24/2001,32.58
9/25/2001,33.25
9/26/2001,32.59
9/27/2001,33.12
9/28/2001,34.15
10/1/2001,34
10/2/2001,34.99
10/3/2001,34.67
10/4/2001,34.16
10/5/2001,33.41
10/8/2001,32.44
10/9/2001,32.95
10/10/2001,33.39
10/11/2001,33.42
10/12/2001,32.89
10/15/2001,33.55
10/16/2001,33.94
10/17/2001,34.6
10/18/2001,34.14
10/19/2001,33.87
10/22/2001,35.31
10/23/2001,35.76
10/24/2001,36.22
10/25/2001,37.48
10/26/2001,37.55
10/29/2001,35.71
10/30/2001,35.51
10/31/2001,35.36
11/1/2001,36.34
11/2/2001,36.04
11/5/2001,36.36
11/6/2001,37.54
11/7/2001,38.59
11/8/2001,38.8
11/9/2001,39.05
11/12/2001,38.8
11/13/2001,39.35
11/14/2001,39.65
11/15/2001,39.55
11/16/2001,39.41
11/19/2001,40.1
11/20/2001,39.4
11/21/2001,38.84
11/22/2001,38.84
11/23/2001,39.39
11/26/2001,39.49
11/27/2001,39.8
11/28/2001,37.5
11/29/2001,38.06
11/30/2001,37.72
12/3/2001,36.55
12/4/2001,37.22
12/5/2001,39.02
12/6/2001,40.38
12/7/2001,39.77
12/10/2001,38.68
12/11/2001,38.5
12/12/2001,38.37
12/13/2001,37.09
12/14/2001,36.04
12/17/2001,36.7
12/18/2001,37.19
12/19/2001,38
12/20/2001,36.52
12/21/2001,35.75
12/24/2001,36.04
12/26/2001,36.31
12/27/2001,36.32
12/28/2001,36.55
12/31/2001,36.35
1/2/2002,36.35
1/3/2002,37.32
1/4/2002,39
1/7/2002,38.9
1/8/2002,38.6
1/9/2002,38.71
1/10/2002,39.14
1/11/2002,38.34
1/14/2002,37.31
1/15/2002,37.87
1/16/2002,36.51
1/17/2002,36.85
1/18/2002,35.91
1/21/2002,35.91
1/22/2002,35.76
1/23/2002,35.75
1/24/2002,35.9
1/25/2002,34.99
1/28/2002,34.31
1/29/2002,32.05
1/30/2002,33.06
1/31/2002,34.05
2/1/2002,32.16
2/4/2002,30.56
2/5/2002,29.02
2/6/2002,29.44
2/7/2002,30.07
2/8/2002,31.12
2/11/2002,31.84
2/12/2002,31.49
2/13/2002,30.25
2/14/2002,30.21
2/15/2002,30.05
2/18/2002,30.05
2/19/2002,29.03
2/20/2002,29.41
2/21/2002,29.14
2/22/2002,28.19
2/25/2002,29
2/26/2002,28.96
2/27/2002,28.96
2/28/2002,29.25
3/1/2002,29.66
3/4/2002,32.5
3/5/2002,32.51
3/6/2002,34.05
3/7/2002,34.05
3/8/2002,34.74
3/11/2002,36.3
3/12/2002,36.25
3/13/2002,35.37
3/14/2002,35.11
3/15/2002,36.01
3/18/2002,35.34
3/19/2002,36.09
3/20/2002,35.19
3/21/2002,34.79
3/22/2002,35.2
3/25/2002,34.95
3/26/2002,35.15
3/27/2002,35.5
3/28/2002,35.65
4/1/2002,35.61
4/2/2002,35.31
4/3/2002,35.01
4/4/2002,34.44
4/5/2002,34.86
4/8/2002,34.98
4/9/2002,35.19
4/10/2002,35.04
4/11/2002,33.46
4/12/2002,34.28
4/15/2002,34.4
4/16/2002,35.38
4/17/2002,37.27
4/18/2002,37.26
4/19/2002,37.76
4/22/2002,36.6
4/23/2002,36.6
4/24/2002,35.89
4/25/2002,35.03
4/26/2002,34.99
4/29/2002,34.34
4/30/2002,35.1
5/1/2002,35.5
5/2/2002,36.25
5/3/2002,35.68
5/6/2002,34.4
5/7/2002,34.63
5/8/2002,36.91
5/9/2002,35.77
