SPX Index,,
Date,PX_LAST,12MO_PUT_IMP_VOL
1/2/2001,1202.08,14.96
1/3/2001,1188.05,15.05
1/4/2001,1183.74,15.06
1/5/2001,1187.89,14.72
1/8/2001,1186.19,14.58
1/9/2001,1190.25,14.33
1/10/2001,1182.99,14.36
1/11/2001,1187.7,14.08
1/12/2001,1177.45,14.2
1/15/2001,1184.52,14
1/16/2001,1195.98,13.69
1/17/2001,1184.63,14.07
1/18/2001,1175.41,14.32
1/19/2001,1167.87,14.43
1/22/2001,1163.75,14.49
1/23/2001,1168.41,14.23
1/24/2001,1174.07,13.91
1/25/2001,1174.55,13.56
1/26/2001,1171.36,13.6
1/29/2001,1181.27,13.17
1/30/2001,1189.41,12.95
1/31/2001,1193.19,12.71
2/1/2001,1189.89,12.69
2/2/2001,1203.03,12.35
2/5/2001,1201.72,12.4
2/6/2001,1202.3,12.23
2/7/2001,1191.99,12.44
2/8/2001,1197.01,12.16
2/9/2001,1205.3,12.03
2/12/2001,1206.14,12.06
2/13/2001,1210.12,11.81
2/14/2001,1210.34,11.84
2/15/2001,1200.75,12.17
2/16/2001,1201.59,12.18
2/19/2001,1184.16,12.98
2/20/2001,1190.8,12.96
2/21/2001,1200.2,12.7
2/22/2001,1211.37,12.47
2/23/2001,1203.6,12.75
2/26/2001,1210.41,12.79
2/27/2001,1210.08,12.98
2/28/2001,1210.47,13.11
3/1/2001,1222.12,12.75
3/2/2001,1225.31,12.73
3/5/2001,1219.43,12.8
3/6/2001,1207.01,13.08
3/7/2001,1209.25,13.16
3/8/2001,1200.08,13.37
3/9/2001,1206.83,13.33
3/12/2001,1197.75,13.48
3/13/2001,1188.07,13.83
3/14/2001,1190.21,13.99
3/15/2001,1189.65,14.06
3/16/2001,1183.78,14.18
3/19/2001,1171.71,14.39
3/20/2001,1172.53,14.58
3/21/2001,1171.42,14.41
3/22/2001,1174.28,14.32
3/23/2001,1165.36,14.72
3/26/2001,1181.41,14.36
3/27/2001,1180.59,14.36
3/28/2001,1172.92,14.61
3/29/2001,1176.12,14.66
3/30/2001,1181.39,14.55
4/2/2001,1184.07,14.38
4/3/2001,1191.14,14.19
4/4/2001,1181.2,14.28
4/5/2001,1181.21,14.33
4/6/2001,1187.76,14.05
4/9/2001,1173.79,14.53
4/10/2001,1162.05,15.07
4/11/2001,1142.62,16.09
4/12/2001,1145.98,16.01
4/16/2001,1152.78,15.52
4/17/2001,1137.5,16.29
4/18/2001,1159.95,15.55
4/19/2001,1152.12,16.03
4/20/2001,1162.1,15.62
4/23/2001,1151.74,15.69
4/24/2001,1156.38,15.67
4/25/2001,1143.22,16.3
4/26/2001,1156.85,15.98
4/27/2001,1162.16,15.83
4/30/2001,1161.17,15.85
5/1/2001,1175.65,15.43
5/2/2001,1172.63,15.09
5/3/2001,1171.35,15.1
5/4/2001,1178.84,14.82
5/7/2001,1166.22,15.38
5/8/2001,1171.11,15.4
5/9/2001,1159.36,16.12
5/10/2001,1154.05,16.43
5/11/2001,1165.69,15.89
5/14/2001,1173.8,15.62
5/15/2001,1185.56,15.06
5/16/2001,1191.08,14.67
5/17/2001,1189.28,14.54
5/18/2001,1193.86,14.32
5/21/2001,1194.07,14.27
5/22/2001,1190.01,14.36
5/23/2001,1197.62,14.22
