Date,Adj Close
1/2/2001,6.77
1/3/2001,6.99
1/4/2001,7.17
1/5/2001,6.86
1/8/2001,7.21
1/9/2001,7.43
1/10/2001,7.27
1/11/2001,7.22
1/12/2001,7.06
1/15/2001,7.06
1/16/2001,6.96
1/17/2001,6.98
1/18/2001,7.01
1/19/2001,6.56
1/22/2001,6.56
1/23/2001,6.64
1/24/2001,6.53
1/25/2001,6.78
1/26/2001,6.63
1/29/2001,6.76
1/30/2001,6.64
1/31/2001,6.87
2/1/2001,6.85
2/2/2001,6.87
2/5/2001,6.91
2/6/2001,7.11
2/7/2001,7.09
2/8/2001,6.9
2/9/2001,6.84
2/12/2001,6.81
2/13/2001,7.02
2/14/2001,6.9
2/15/2001,6.55
2/16/2001,6.49
2/19/2001,6.49
2/20/2001,5.98
2/21/2001,5.89
2/22/2001,6.01
2/23/2001,6.13
2/26/2001,6.15
2/27/2001,4.94
2/28/2001,4.88
3/1/2001,4.78
3/2/2001,4.74
3/5/2001,4.75
3/6/2001,4.89
3/7/2001,5.05
3/8/2001,5.07
3/9/2001,5.01
3/12/2001,4.89
3/13/2001,4.73
3/14/2001,4.6
3/15/2001,4.57
3/16/2001,4.57
3/19/2001,4.54
3/20/2001,4.76
3/21/2001,5.03
3/22/2001,4.97
3/23/2001,5.06
3/26/2001,4.93
3/27/2001,5
3/28/2001,4.97
3/29/2001,5.03
3/30/2001,5.07
4/2/2001,5.15
4/3/2001,4.93
4/4/2001,5
4/5/2001,4.95
4/6/2001,4.92
4/9/2001,4.94
4/10/2001,4.93
4/11/2001,4.76
4/12/2001,4.68
4/16/2001,4.62
4/17/2001,4.65
4/18/2001,4.78
4/19/2001,4.95
4/20/2001,4.97
4/23/2001,4.97
4/24/2001,4.78
4/25/2001,4.88
4/26/2001,4.98
4/27/2001,5.2
4/30/2001,5.23
5/1/2001,5.08
5/2/2001,5.2
5/3/2001,5.12
5/4/2001,5.08
5/7/2001,5.07
5/8/2001,5.12
5/9/2001,5.01
5/10/2001,4.93
5/11/2001,4.8
5/14/2001,4.86
5/15/2001,4.95
5/16/2001,5.25
5/17/2001,5.29
5/18/2001,5.3
5/21/2001,5.46
5/22/2001,5.64
5/23/2001,5.47
5/24/2001,5.47
5/25/2001,5.44
5/28/2001,5.44
5/29/2001,5.31
5/30/2001,5.13
5/31/2001,5.14
6/1/2001,5.17
6/4/2001,5.15
6/5/2001,5.18
6/6/2001,5.18
6/7/2001,5.3
6/8/2001,5.2
6/11/2001,5.15
6/12/2001,5.24
6/13/2001,5.17
6/14/2001,5.18
6/15/2001,5.12
6/18/2001,5.1
6/19/2001,5.33
6/20/2001,5.26
6/21/2001,5.44
6/22/2001,5.57
6/25/2001,5.5
6/26/2001,5.35
6/27/2001,5.33
6/28/2001,5.25
6/29/2001,5.25
7/2/2001,5.27
7/3/2001,5.32
7/4/2001,5.32
7/5/2001,5.26
7/6/2001,5.23
7/9/2001,5.19
7/10/2001,5.14
7/11/2001,5.3
7/12/2001,5.63
7/13/2001,5.64
7/16/2001,5.8
7/17/2001,5.87
7/18/2001,5.75
7/19/2001,5.97
7/20/2001,5.92
7/23/2001,5.78
7/24/2001,5.76
7/25/2001,5.85
7/26/2001,5.98
7/27/2001,5.85
7/30/2001,5.76
7/31/2001,5.95
8/1/2001,5.98
8/2/2001,6.23
8/3/2001,6.27
8/6/2001,5.94
8/7/2001,5.97
8/8/2001,6
8/9/2001,6.08
8/10/2001,6.18
8/13/2001,6.21
8/14/2001,6.19
8/15/2001,6.1
8/16/2001,6.13
8/17/2001,6.09
8/20/2001,6.03
8/21/2001,6.08
8/22/2001,6.13
8/23/2001,6.16
8/24/2001,6.41
8/27/2001,6.32
8/28/2001,6.32
8/29/2001,6.28
8/30/2001,6.19
8/31/2001,6.25
9/3/2001,6.25
9/4/2001,6.35
9/5/2001,6.32
9/6/2001,6.27
9/7/2001,6.07
9/10/2001,6.08
9/11/2001,6.08
9/17/2001,5.51
9/18/2001,5.38
9/19/2001,5.35
9/20/2001,5.28
9/21/2001,5.46
9/24/2001,5.81
9/25/2001,5.71
9/26/2001,5.68
9/27/2001,5.7
9/28/2001,5.85
10/1/2001,5.86
10/2/2001,6.01
10/3/2001,6.12
10/4/2001,5.95
10/5/2001,5.98
10/8/2001,5.93
10/9/2001,5.85
10/10/2001,6.03
10/11/2001,5.99
10/12/2001,6.01
10/15/2001,5.96
10/16/2001,5.94
10/17/2001,5.93
10/18/2001,5.95
10/19/2001,6.02
10/22/2001,6.17
10/23/2001,6.14
10/24/2001,6.1
10/25/2001,6.13
10/26/2001,6.21
10/29/2001,6.11
10/30/2001,6.01
10/31/2001,6.17
11/1/2001,6.12
11/2/2001,6.15
11/5/2001,6.19
11/6/2001,6.25
11/7/2001,6.22
11/8/2001,6.23
11/9/2001,6.2
11/12/2001,6.17
11/13/2001,6.25
11/14/2001,6.45
11/15/2001,6.56
11/16/2001,6.62
11/19/2001,6.65
11/20/2001,6.7
11/21/2001,6.7
11/22/2001,6.7
11/23/2001,6.68
11/26/2001,6.54
11/27/2001,6.54
11/28/2001,6.47
11/29/2001,6.43
11/30/2001,6.63
12/3/2001,6.61
12/4/2001,6.62
12/5/2001,6.85
12/6/2001,7.05
12/7/2001,6.88
12/10/2001,6.8
12/11/2001,6.88
12/12/2001,6.82
12/13/2001,6.86
12/14/2001,6.73
12/17/2001,6.54
12/18/2001,6.6
12/19/2001,6.83
12/20/2001,6.73
12/21/2001,7.04
12/24/2001,7.13
12/26/2001,7.14
12/27/2001,7.1
12/28/2001,7.05
12/31/2001,7.03
1/2/2002,7.12
1/3/2002,7.07
1/4/2002,7.13
1/7/2002,7.15
1/8/2002,7.17
1/9/2002,7.07
1/10/2002,7.13
1/11/2002,6.93
1/14/2002,6.84
1/15/2002,7.16
1/16/2002,7.02
1/17/2002,7.18
1/18/2002,7.2
1/21/2002,7.2
1/22/2002,7.25
1/23/2002,7.27
1/24/2002,7.35
1/25/2002,7.33
1/28/2002,7.28
1/29/2002,7.23
1/30/2002,7.63
1/31/2002,7.5
2/1/2002,7.52
2/4/2002,7.43
2/5/2002,7.5
2/6/2002,7.51
2/7/2002,7.51
2/8/2002,7.39
2/11/2002,7.56
2/12/2002,7.52
2/13/2002,7.55
2/14/2002,7.56
2/15/2002,7.44
2/18/2002,7.44
2/19/2002,7.3
2/20/2002,7.32
2/21/2002,7.19
2/22/2002,7.43
2/25/2002,7.47
2/26/2002,7.43
2/27/2002,7.32
2/28/2002,7.36
3/1/2002,7.36
3/4/2002,7.41
3/5/2002,7.26
3/6/2002,7.33
3/7/2002,7.35
3/8/2002,7.28
3/11/2002,7.31
3/12/2002,7.31
3/13/2002,7.59
3/14/2002,7.85
3/15/2002,7.85
3/18/2002,7.94
3/19/2002,7.93
3/20/2002,8
3/21/2002,7.9
3/22/2002,7.44
3/25/2002,7.51
3/26/2002,7.57
3/27/2002,7.63
3/28/2002,7.5
4/1/2002,7.35
4/2/2002,7.21
4/3/2002,7.28
4/4/2002,7.26
4/5/2002,7.36
4/8/2002,7.32
4/9/2002,7.34
4/10/2002,7.32
4/11/2002,7.2
4/12/2002,7.24
4/15/2002,7.13
4/16/2002,7.35
4/17/2002,7.18
4/18/2002,6.93
4/19/2002,7.1
4/22/2002,7.13
4/23/2002,7.18
4/24/2002,7
4/25/2002,6.94
4/26/2002,6.85
4/29/2002,6.74
4/30/2002,6.67
5/1/2002,6.84
5/2/2002,6.91
5/3/2002,6.92
5/6/2002,6.75
5/7/2002,6.89
5/8/2002,7.01
5/9/2002,6.87
5/10/2002,6.62
5/13/2002,6.72
5/14/2002,6.9
5/15/2002,6.81
5/16/2002,6.98
5/17/2002,6.98
5/20/2002,6.98
5/21/2002,6.72
5/22/2002,6.6
5/23/2002,6.85
5/24/2002,6.75
5/27/2002,6.75
5/28/2002,6.72
5/29/2002,6.7
5/30/2002,6.7
5/31/2002,6.72
6/3/2002,6.51
6/4/2002,6.3
6/5/2002,6.35
6/6/2002,6.3
6/7/2002,6.27
6/10/2002,6.29
6/11/2002,6.3
6/12/2002,6.3
6/13/2002,6.25
6/14/2002,6.22
6/17/2002,6.55
6/18/2002,6.63
6/19/2002,6.63
6/20/2002,6.5
6/21/2002,6.35
6/24/2002,6.37
6/25/2002,6.2
6/26/2002,6.14
6/27/2002,6.43
6/28/2002,6.71
7/1/2002,6.83
7/2/2002,6.84
7/3/2002,6.88
7/4/2002,6.88
7/5/2002,7.04
7/8/2002,7.1
7/9/2002,7
7/10/2002,6.96
7/11/2002,6.58
7/12/2002,6.65
7/15/2002,6.55
7/16/2002,6.76
7/17/2002,6.69
7/18/2002,6.39
7/19/2002,6.12
7/22/2002,5.95
7/23/2002,5.8
7/24/2002,6.05
7/25/2002,6.08
7/26/2002,6.09
7/29/2002,6.35
7/30/2002,6.29
7/31/2002,6.16
8/1/2002,5.88
8/2/2002,5.69
8/5/2002,5.49
8/6/2002,5.58
8/7/2002,5.57
8/8/2002,5.63
8/9/2002,5.49
8/12/2002,5.35
8/13/2002,5.38
8/14/2002,5.53
8/15/2002,5.66
8/16/2002,5.51
8/19/2002,5.45
8/20/2002,5.6
8/21/2002,5.69
8/22/2002,5.77
8/23/2002,5.73
8/26/2002,5.74
8/27/2002,5.67
8/28/2002,5.57
8/29/2002,5.37
8/30/2002,5.4
9/2/2002,5.4
9/3/2002,5.28
9/4/2002,5.27
9/5/2002,5.24
9/6/2002,5.24
9/9/2002,5.12
9/10/2002,5.27
9/11/2002,5.38
9/12/2002,5.22
9/13/2002,5.22
9/16/2002,5.28
9/17/2002,5.22
9/18/2002,5.38
9/19/2002,5.5
9/20/2002,5.51
9/23/2002,5.29
9/24/2002,5.28
9/25/2002,5.55
9/26/2002,5.7
9/27/2002,5.49
9/30/2002,5.4
10/1/2002,5.44
10/2/2002,5.39
10/3/2002,5.26
10/4/2002,5.24
10/7/2002,5
10/8/2002,5
10/9/2002,4.92
10/10/2002,4.98
10/11/2002,5.24
10/14/2002,5.33
10/15/2002,5.62
10/16/2002,5.39
10/17/2002,5.57
